agent_name,agent_office,property_ID,Listing_ID,price,baths_half,baths_full,baths,beds,size_in_sqft,lot_size_in_sqft,prop_type,prop_sub_type,city,Line,postal_code,lat,lon,neighborhood_name,Listing_Url,thumbnail
Karon Ricker,"Pearson Smith Realty, Llc",M6469133850,2922957917,650000,2,1,3,3.0,1188,7620,single_family,NA,Arlington,619 S Stafford St,22204,38.862712,-77.104406,Barcroft,https://www.realtor.com/realestateandhomes-detail/619-S-Stafford-St_Arlington_VA_22204_M64691-33850,https://ap.rdcpix.com/43d07736175badebcf574bdb8dc38b53l-m1359806071x.jpg
Omar S Sherzai,Long & Foster Arlington,M6643586028,2922963692,535000,1,3,4,4.0,1792,1300,condo,townhomes,Arlington,3003 20th Ct S,22204,38.852493,-77.085039,Nauck,https://www.realtor.com/realestateandhomes-detail/3003-20th-Ct-S_Arlington_VA_22204_M66435-86028,https://ap.rdcpix.com/ee38b698c8c97f5c22ef29a18af6aaabl-m1947060205x.jpg
Laurie Mensing Agent,Long & Foster McLean,M5093005098,2922957717,1499000,1,4,5,5.0,4410,9738,single_family,NA,Arlington,3049 Military Rd,22207,38.912951,-77.114731,Bellevue Forest,https://www.realtor.com/realestateandhomes-detail/3049-Military-Rd_Arlington_VA_22207_M50930-05098,https://ap.rdcpix.com/1ce5cc74d1792ff8cf67c5654ea00b09l-m580013372x.jpg
William Gossett,Washington Fine Properties,M5723100283,2922963920,1985000,2,5,7,5.0,5598,8792,single_family,NA,Arlington,4126 26th Rd N,22207,38.905253,-77.110827,Donaldson Run,https://www.realtor.com/realestateandhomes-detail/4126-26th-Rd-N_Arlington_VA_22207_M57231-00283,https://ap.rdcpix.com/f5bb317fc7e82e150221ca2ace7cfd6cl-m2791106280x.jpg
Keith Herrmann,KW United,M6019930180,2922963685,239900,NA,1,1,1.0,699,NA,condo,condos,Arlington,206 N Trenton St Unit 206-2,22203,38.87077,-77.10666,Buckingham,https://www.realtor.com/realestateandhomes-detail/206-N-Trenton-St-206-2_Arlington_VA_22203_M60199-30180,https://ap.rdcpix.com/bd884aed806774a75c1111bb6b227a3al-m530213777x.jpg
Cathy Poungmalai,FRANKLY REAL ESTATE INC,M6711463757,2922963824,574700,NA,1,1,2.0,890,NA,condo,condos,Arlington,2330 14th St N Apt 308,22201,38.88897,-77.0871,North Arlington,https://www.realtor.com/realestateandhomes-detail/2330-14th-St-N-Apt-308_Arlington_VA_22201_M67114-63757,https://ap.rdcpix.com/6c88436f98c2354254cace49ddd43241l-m4065316740x.jpg
Brian Siebel,COMPASS,M5603479756,2922964089,950000,NA,3,3,4.0,2963,10205,single_family,NA,Arlington,5426 5th St S,22204,38.861909,-77.121501,Glencarlyn,https://www.realtor.com/realestateandhomes-detail/5426-5th-St-S_Arlington_VA_22204_M56034-79756,https://ap.rdcpix.com/9e1c904d36ca2f6d2add8f4627c6d3b1l-m2213793367x.jpg
Caroline Roberts,"Weichert, Realtors - McLean",M5359012544,2922963923,999000,NA,3,3,5.0,3257,16761,single_family,NA,Arlington,3713 Military Rd,22207,38.921695,-77.120358,North Arlington,https://www.realtor.com/realestateandhomes-detail/3713-Military-Rd_Arlington_VA_22207_M53590-12544,https://ap.rdcpix.com/35fc76dadf58f4196ff3bf16532162efl-m320124189x.jpg
Uzma Samee,SAMSON PROPERTIES,M5019935999,2922957739,670000,2,2,4,3.0,1836,NA,condo,townhomes,Arlington,6831 Washington Blvd Unit A,22213,38.889072,-77.161553,East Falls Church,https://www.realtor.com/realestateandhomes-detail/6831-Washington-Blvd-A_Arlington_VA_22213_M50199-35999,https://ap.rdcpix.com/620ac882a6c7cedb62c42adc7a1e0c39l-m2653142708x.jpg
Candee Currie,Redfin Corporation,M5273772738,2922963617,312000,NA,1,1,1.0,711,NA,condo,condos,Arlington,2868 S Abingdon St Apt C1,22206,38.8405,-77.09903,Fairlington,https://www.realtor.com/realestateandhomes-detail/2868-S-Abingdon-St-Apt-C1_Arlington_VA_22206_M52737-72738,https://ap.rdcpix.com/cc64a90a9a680e8a51918db6600d5d2el-m3702402715x.jpg
Sheri Grant,TTR Sotheby's International Realty,M6629202445,2922963802,1595000,NA,4,4,4.0,3749,8023,single_family,NA,Arlington,3135 17th St N,22201,38.891053,-77.097724,Lyon Village,https://www.realtor.com/realestateandhomes-detail/3135-17th-St-N_Arlington_VA_22201_M66292-02445,https://ap.rdcpix.com/7ca0b7a94cc0ca1fbdbac11c1a4f6d65l-m4152018036x.jpg
Lisa Clarke,Coldwell Banker Realty - Bethesda,M5091262892,2922957665,510000,NA,2,2,2.0,864,NA,condo,condos,Arlington,1301 N Courthouse Rd Apt 1607,22201,38.888749,-77.083013,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1301-N-Courthouse-Rd-Apt-1607_Arlington_VA_22201_M50912-62892,https://ap.rdcpix.com/0454df74822894029781afc0f585628fl-w3138024828x.jpg
Maggie Altomare,Prosperity Realty Llc,M9721589830,2922963989,1100000,NA,3,3,5.0,2408,8314,single_family,NA,Arlington,2626 Washington Blvd,22201,38.879354,-77.089855,North Arlington,https://www.realtor.com/realestateandhomes-detail/2626-Washington-Blvd_Arlington_VA_22201_M97215-89830,https://ap.rdcpix.com/be6b4e2ee756ddfd9c31326f897e40b4l-m1076308736x.jpg
LILIAN JORGENSON,Long & Foster McLean,M6542297196,2922957726,2750000,NA,8,8,7.0,8362,8705,single_family,NA,Arlington,1922 N Quincy St,22207,38.894524,-77.107998,Cherrydale,https://www.realtor.com/realestateandhomes-detail/1922-N-Quincy-St_Arlington_VA_22207_M65422-97196,https://ap.rdcpix.com/3a10bd920dd30c273a622429c15e4530l-m1810124265x.jpg
Tina Cheung,"Exp Realty, Llc",M5253292917,2922963623,520000,NA,2,2,3.0,1332,3689,condo,duplex_triplex,Arlington,2602 27th Rd S,22206,38.844383,-77.079729,Nauck,https://www.realtor.com/realestateandhomes-detail/2602-27th-Rd-S_Arlington_VA_22206_M52532-92917,https://ap.rdcpix.com/b3d0074ad71dbedfa332f61165fd1a52l-m466278497x.jpg
Casey O Neal,COMPASS,M5394972956,2922964091,599900,1,2,3,4.0,2270,12683,single_family,NA,Arlington,904 Randolph St S,22204,38.860523,-77.101395,Alcova Heights,https://www.realtor.com/realestateandhomes-detail/904-S-Randolph-St_Arlington_VA_22204_M53949-72956,https://ap.rdcpix.com/17a3cd39ec5ee80dedd68d158704a37el-m2389553999x.jpg
Roxanne Southern,SAMSON PROPERTIES,M5509146357,2922938112,199000,NA,2,2,2.0,981,NA,condo,condos,Arlington,900 N Taylor St Apt 1425,22203,38.88127736,-77.11374137,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/900-N-Taylor-St-Apt-1425_Arlington_VA_22203_M55091-46357,https://ap.rdcpix.com/da33f747d301eed12b225011319e1352l-m4202795840x.jpg
Linda Murphy,"McEnearney Associates, Inc.",M5396565242,2922937247,799000,NA,2,2,3.0,1444,6527,single_family,NA,Arlington,125 N Abingdon St,22203,38.868791,-77.114386,Arlington Forest,https://www.realtor.com/realestateandhomes-detail/125-N-Abingdon-St_Arlington_VA_22203_M53965-65242,https://ap.rdcpix.com/0cc73e85b2e814508f5a9b973890d290l-m3039687852x.jpg
Jaenho Oh,KW United,M6650244190,2922935257,670000,NA,2,2,2.0,980,NA,condo,condos,Arlington,1205 N Garfield St Apt 707,22201,38.8869,-77.09359,North Arlington,https://www.realtor.com/realestateandhomes-detail/1205-N-Garfield-St-Apt-707_Arlington_VA_22201_M66502-44190,https://ap.rdcpix.com/b75c2fbd3a53f5dd2f410c01ae94f88dl-m686036520x.jpg
Louise Molton,RE/MAX West End,M6486507636,2922933730,155000,NA,1,1,0.0,369,NA,condo,condos,Arlington,1011 Arlington Blvd Apt 1036,22209,38.89115,-77.06864,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1011-Arlington-Blvd-Apt-1036_Arlington_VA_22209_M64865-07636,https://ap.rdcpix.com/9913aadf5446d4f1e01a9f7bfa9f1b54l-m3938953433x.jpg
Adam Isaacson,TTR Sotheby's International Realty,M6514599155,2922930935,899000,1,2,3,4.0,1800,11627,single_family,NA,Arlington,2325 N Dickerson St,22207,38.897666,-77.129553,Yorktown,https://www.realtor.com/realestateandhomes-detail/2325-N-Dickerson-St_Arlington_VA_22207_M65145-99155,https://ap.rdcpix.com/65a92e09cdde057333ea4e5fef7f1ce9l-m1466026694x.jpg
KELLY STOCK,"Era Teachers, Inc.",M5250575622,2922916184,450000,NA,1,1,1.0,725,NA,condo,condos,Arlington,820 N Pollard St Apt 210,22203,38.88043,-77.10679,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/820-N-Pollard-St-Apt-210_Arlington_VA_22203_M52505-75622,https://ap.rdcpix.com/7615695052f15e8daf06201c7fdbd0b1l-m2447271281x.jpg
Keri Shull,Optime Realty,M5386540703,2922916136,1250000,1,4,5,6.0,4565,6000,single_family,NA,Arlington,5642 6th St N,22205,38.872426,-77.128503,Bluemont,https://www.realtor.com/realestateandhomes-detail/5642-6th-St-N_Arlington_VA_22205_M53865-40703,https://ap.rdcpix.com/2f34060dfec3794e2c2314e5c04fd880l-m1857305370x.jpg
Raya Fridental,Redfin Corporation,M5339122680,2922923615,275000,NA,1,1,1.0,716,NA,condo,condos,Arlington,1300 S Arlington Ridge Rd Apt 412,22202,38.86175,-77.067,Pentagon City,https://www.realtor.com/realestateandhomes-detail/1300-S-Arlington-Ridge-Rd-Apt-412_Arlington_VA_22202_M53391-22680,https://ap.rdcpix.com/25addcd21e898ca96d04b309a0a377aal-m1553048664x.jpg
Heather Sand,Rlah Real Estate,M5369637342,2922906717,315000,NA,1,1,1.0,682,NA,condo,condos,Arlington,1730 Arlington Blvd Apt 505,22209,38.88828,-77.07864,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1730-Arlington-Blvd-Apt-505_Arlington_VA_22209_M53696-37342,https://ap.rdcpix.com/d5c7463e8d41c0804209d2157c49c590l-m2054563246x.jpg
Michael Sobhi,Fairfax Realty Select ,M5324895467,2922906957,725000,NA,2,2,2.0,1112,NA,condo,condos,Arlington,1220 N Fillmore St Unit 911,22201,38.886901,-77.093444,North Arlington,https://www.realtor.com/realestateandhomes-detail/1220-N-Fillmore-St-Unit-911_Arlington_VA_22201_M53248-95467,https://ap.rdcpix.com/ff34bfc9ea232e69979488323f285334l-m3240995064x.jpg
Diane P Schline,CENTURY 21 Redwood Realty,M6537088892,2922906954,849900,1,3,4,4.0,2250,906,condo,townhomes,Arlington,1168 N Vermont St,22201,38.884323,-77.115186,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/1168-N-Vermont-St_Arlington_VA_22201_M65370-88892,https://ap.rdcpix.com/e425312d089a53d222ae7a520312776bl-m296293169x.jpg
Kris Walker,KW United,M6685542405,2922907037,835000,1,2,3,3.0,1918,6000,single_family,NA,Arlington,5525 4th St S,22204,38.863315,-77.123459,Glencarlyn,https://www.realtor.com/realestateandhomes-detail/5525-4th-St-S_Arlington_VA_22204_M66855-42405,https://ap.rdcpix.com/5ce981c0d78ccd8861c09cac218b3998l-m2275861394x.jpg
Margaret Benghauser,"MCENEARNEY ASSOCIATES, INC.",M5814309090,2922907041,450000,NA,2,2,2.0,1135,NA,single_family,NA,Arlington,4077 S Four Mile Run Dr Unit 203,22204,38.84852,-77.09696,Douglas Park,https://www.realtor.com/realestateandhomes-detail/4077-S-Four-Mile-Run-Dr-Unit-203_Arlington_VA_22204_M58143-09090,https://ap.rdcpix.com/4e898a07b08b94916013aaae3db526a1l-m1939463581x.jpg
Michael Roschke,Keller Williams Realty,M9821537582,2922907007,359999,NA,1,1,2.0,840,NA,condo,condos,Arlington,1220 N Meade St Apt 3,22209,38.889076,-77.071694,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1220-N-Meade-St-Apt-3_Arlington_VA_22209_M98215-37582,https://ap.rdcpix.com/07b90f92851fc43f751dae99dd19ff40l-m221392827x.jpg
Margaret Ross,Keller Williams Realty,M6615515328,2922907011,1249000,NA,5,5,5.0,3170,5510,single_family,NA,Arlington,6246 19th St N,22205,38.88619,-77.150688,North Arlington,https://www.realtor.com/realestateandhomes-detail/6246-19th-St-N_Arlington_VA_22205_M66155-15328,https://ap.rdcpix.com/7d6c569cb2d50d7323ba67c280fb8139l-m2293156288x.jpg
Keri Shull,Optime Realty,M5141100541,2922903294,700000,NA,2,2,2.0,1188,NA,condo,condos,Arlington,851 N Glebe Rd Apt 1019,22203,38.88133,-77.11431,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/851-N-Glebe-Rd-Apt-1019_Arlington_VA_22203_M51411-00541,https://ap.rdcpix.com/739546bd7def0267b4d4b99e4c8afed9l-m3479704593x.jpg
