,RestaurantName,AddressVicinity,PriceLevel,Rating,BusinessStatus,LatLong
401,The Celtic House Irish Pub & Restaurant,"2500 Columbia Pike, Arlington",2.0,4.7,OPERATIONAL,"38.8629799,-77.0842574"
402,Starbucks,"2413 Columbia Pike, Arlington",2.0,4.2,OPERATIONAL,"38.86347300000001,-77.083996"
403,Chipotle Mexican Grill,"1002 South Glebe Road, Arlington",1.0,3.9,OPERATIONAL,"38.8609515,-77.09225479999999"
404,Wendy's,"3431 Columbia Pike, Arlington",1.0,3.9,OPERATIONAL,"38.8613038,-77.0928089"
405,Subway,"104 McNair Road, Fort Myer",1.0,2.7,OPERATIONAL,"38.87331879999999,-77.07941439999999"
406,Panda Express,"Bldg 441, Pershing Drive, Fort Myer",1.0,4.0,OPERATIONAL,"38.87465419999999,-77.0809739"
407,Burrito Bros,"2599 Columbia Pike, Arlington",1.0,4.6,OPERATIONAL,"38.86333329999999,-77.0847222"
408,The Broiler,"3601 Columbia Pike, Arlington",1.0,4.5,OPERATIONAL,"38.860956,-77.0941888"
409,Rincome Thai Cuisine,"3030 Columbia Pike, Arlington",2.0,4.5,OPERATIONAL,"38.86210769999999,-77.0881583"
410,Good Fortune Chinese Restaurant,"3209 Columbia Pike, Arlington",2.0,3.6,OPERATIONAL,"38.8619824,-77.0904189"
411,Mom's Pizza,"3255 Columbia Pike, Arlington",2.0,4.3,OPERATIONAL,"38.862234,-77.09151299999999"
412,McDonald's,"3013 Columbia Pike, Arlington",1.0,3.6,OPERATIONAL,"38.86262120000001,-77.088517"
413,Pan American Bakery,"4113 Columbia Pike, Arlington",1.0,4.3,OPERATIONAL,"38.8592316,-77.1008268"
414,Pike Bolivian Restaurant,"4111 Columbia Pike, Arlington",2.0,4.2,OPERATIONAL,"38.8592351,-77.1007566"
415,El Rancho Migueleno,"3709 Columbia Pike #1, Arlington",,3.7,OPERATIONAL,"38.8606098,-77.09535869999999"
416,El Puerto Restaurant,"3007 Columbia Pike, Arlington",2.0,3.8,OPERATIONAL,"38.8627778,-77.0883333"
417,Cantina Mexicana,"922 South Walter Reed Drive, Arlington",2.0,4.1,OPERATIONAL,"38.8630205,-77.0873876"
418,Mrs. Chen's Kitchen,"3101 Columbia Pike, Arlington",1.0,3.7,OPERATIONAL,"38.8621828,-77.08933979999999"
419,Abi Azteca Grill & Bar,"3005 Columbia Pike, Arlington",1.0,4.3,OPERATIONAL,"38.862575,-77.088196"
420,Rabieng Thai Restaurant,"5892 Leesburg Pike, Falls Church",2.0,4.6,OPERATIONAL,"38.8537119,-77.1344103"
421,Pollo Campero,"5852 Columbia Pike, Falls Church",1.0,4.1,OPERATIONAL,"38.848728,-77.13399199999999"
422,Stone Hot Pizza,"3829 South George Mason Drive, Falls Church",2.0,4.3,OPERATIONAL,"38.8406469,-77.1208983"
423,Moe's Southwest Grill,"5855 Leesburg Pike, Falls Church",1.0,4.0,OPERATIONAL,"38.85113,-77.132464"
424,Athens Pizza,"3541 Carlin Springs Road, Bailey's Crossroads",2.0,3.3,OPERATIONAL,"38.8469972,-77.1249733"
425,EYO Restaurant and Sports Bar,"3821 South George Mason Drive, Bailey's Crossroads",2.0,4.2,OPERATIONAL,"38.840963,-77.120134"
426,The Perfect Pita,"5205 Leesburg Pike, Skyline Heights Court #112, Falls Church",1.0,4.5,CLOSED_TEMPORARILY,"38.844902,-77.11954419999999"
427,QDOBA Mexican Eats,"5872 Crossroads Center Way, Falls Church",1.0,4.5,OPERATIONAL,"38.85263940000001,-77.1319459"
428,Laze Cafe,"5820 Seminary Road unit N, Falls Church",,4.6,OPERATIONAL,"38.8473877,-77.12765370000001"
429,San Miguel Cafe,"5900-B, Leesburg Pike, Falls Church",,3.9,OPERATIONAL,"38.8545658,-77.1356235"
430,McDonald's,"5603 Leesburg Pike, Falls Church",1.0,3.6,OPERATIONAL,"38.8479719,-77.1249785"
431,Haifa Grill,"3541 Carlin Springs Road, Falls Church",2.0,4.2,OPERATIONAL,"38.84702169999999,-77.1250319"
432,Golden Buffet & Grill,"3490 South Jefferson Street, Bailey's Crossroads",1.0,3.9,OPERATIONAL,"38.8498923,-77.120187"
433,Chipotle Mexican Grill,"3556B South Jefferson Street, Falls Church",1.0,3.8,OPERATIONAL,"38.8478701,-77.1210318"
434,LongHorn Steakhouse,"3562 South Jefferson Street, Falls Church",2.0,4.2,OPERATIONAL,"38.8477787,-77.1190932"
435,District Taco,"5275-C, Leesburg Pike, Falls Church",1.0,4.3,OPERATIONAL,"38.8461354,-77.1200788"
436,Buffalo Wild Wings,"5275 Leesburg Pike B, Bailey's Crossroads",2.0,3.7,OPERATIONAL,"38.846053,-77.1198215"
437,Pho Golden Star,"3537 South Jefferson Street, Falls Church",1.0,4.5,OPERATIONAL,"38.8470935,-77.1176985"
438,Rawal Kabob,Alexandria,,5.0,OPERATIONAL,"38.848219,-77.1174546"
439,Wingstop,"3521 South Jefferson Street, Bailey's Crossroads",2.0,3.7,OPERATIONAL,"38.8478962,-77.1174252"
440,Chipotle Mexican Grill,"3425 Richmond Highway Ste B, Alexandria",1.0,3.8,OPERATIONAL,"38.83577200000001,-77.0512823"
441,Taste of Eurasia,"428 A Hume Avenue, Alexandria",,4.7,OPERATIONAL,"38.8317145,-77.05157419999999"
442,SouvlakiBar Alexandria,"2732 Richmond Highway, Alexandria",1.0,4.4,OPERATIONAL,"38.830788,-77.0512388"
443,Northside 10,"10 East Glebe Road, Alexandria",2.0,4.5,OPERATIONAL,"38.8355351,-77.0572559"
444,Triple Craft,"1 Marina Drive, Alexandria",2.0,3.8,CLOSED_TEMPORARILY,"38.833333,-77.041876"
445,Express Subs & Pizza,"2320 Richmond Highway, Alexandria",2.0,3.6,OPERATIONAL,"38.8273823,-77.05089199999999"
446,Royal Nepal Restaurant,"3807 Mount Vernon Avenue, Alexandria",2.0,4.7,OPERATIONAL,"38.8395962,-77.0623153"
447,Jerry Chan's Restaurant,"3830 Mount Vernon Avenue, Alexandria",,3.6,OPERATIONAL,"38.83966889999999,-77.0628115"
448,Toppers Pizza,"3827 Mount Vernon Avenue, Alexandria",2.0,4.3,OPERATIONAL,"38.840919,-77.062736"
449,Naked Lunch,"3831 Mount Vernon Avenue, Alexandria",,4.6,OPERATIONAL,"38.8410692,-77.0628759"
450,Stomping Ground,"2309 Mount Vernon Avenue, Alexandria",2.0,4.5,OPERATIONAL,"38.8265895,-77.058515"
451,The Bistro – Eat. Drink. Connect.®,"2899 Richmond Highway, Arlington",,3.8,OPERATIONAL,"38.8480409,-77.0519475"
452,McDonald's,"121 West Glebe Road, Alexandria",1.0,3.7,OPERATIONAL,"38.8369122,-77.0607689"
453,Domino's Pizza,"3535 South Ball Street, Arlington",1.0,2.4,OPERATIONAL,"38.8435144,-77.05091449999999"
454,SOCCi,"2800 South Potomac Avenue, Arlington",2.0,3.9,OPERATIONAL,"38.847698,-77.05135"
455,Neighborhood Provisions,"2000 Mount Vernon Avenue, Alexandria",,4.2,OPERATIONAL,"38.82399950000001,-77.0585167"
456,Kaizen Tavern,"1909 Mount Vernon Avenue, Alexandria",2.0,4.5,OPERATIONAL,"38.8235575,-77.0579095"
457,Vocelli Pizza,"3406 Commonwealth Avenue, Alexandria",1.0,3.4,OPERATIONAL,"38.8351458,-77.05839929999999"
458,Reservoir,"Terminal A Gates 1-9, Reagan National Airport, Arlington",,3.7,OPERATIONAL,"38.8480104,-77.0425841"
459,Fresh Kitchen,"2650 Richmond Highway, Arlington",,3.8,CLOSED_TEMPORARILY,"38.84934399999999,-77.0531542"
460,Quickway Japanese Hibachi,"6136 F Arlington Boulevard, Seven Corners",1.0,3.9,OPERATIONAL,"38.8690974,-77.1453333"
461,Dunkin',"6138 Arlington Boulevard Unit E, Falls Church",1.0,3.6,OPERATIONAL,"38.869295,-77.14586740000001"
462,Five Guys,"6134 Arlington Boulevard Suite A, Falls Church",2.0,4.2,OPERATIONAL,"38.8687664,-77.14540819999999"
463,Tropical Smoothie Cafe,"6110 Arlington Boulevard Unit A, Falls Church",1.0,3.9,OPERATIONAL,"38.8688099,-77.1439156"
464,Cafe Rio Mexican Grill,"6108-A Arlington Boulevard, Falls Church",2.0,4.3,OPERATIONAL,"38.8686654,-77.1439443"
466,Happy Lamb Hot Pot,"6799 Wilson Boulevard #10, Falls Church",2.0,4.2,OPERATIONAL,"38.8729014,-77.1540278"
467,Saigon West,"6751 Wilson Boulevard, Falls Church",,4.2,OPERATIONAL,"38.87304769999999,-77.15472790000001"
468,Kao Sarn Thai Street Food,"Eden Center, 6795 Wilson Boulevard Unit 12, Falls Church",2.0,4.4,OPERATIONAL,"38.8729719,-77.1546992"
469,Gom Tang E,"6795 Wilson Boulevard, Falls Church",1.0,4.2,CLOSED_TEMPORARILY,"38.8728164,-77.1548273"
470,Truong Nguyen,"6795 Wilson Boulevard, Falls Church",,,OPERATIONAL,"38.8730102,-77.1547358"
471,Rice Paper - Taste of Vietnam,"6775 Wilson Boulevard, Falls Church",2.0,4.3,OPERATIONAL,"38.8739233,-77.1551188"
472,Fairfax Inn Restaurant,"2946 Sleepy Hollow Road, Falls Church",1.0,4.2,OPERATIONAL,"38.8709222,-77.1572611"
473,Marks Duck House,"6184-a Arlington Boulevard, Falls Church",2.0,4.0,OPERATIONAL,"38.870086,-77.14752"
474,Pistone's Italian Inn,"6320 Arlington Boulevard, Falls Church",2.0,4.3,OPERATIONAL,"38.8728857,-77.1578976"
475,Phung Hoang Restaurant,"6795 Wilson Boulevard # 39, Falls Church",,4.4,OPERATIONAL,"38.8730298,-77.15489699999999"
476,Tranh Truc,"6795 Wilson Boulevard #29, Falls Church",1.0,3.6,OPERATIONAL,"38.873129,-77.1545897"
477,Little Saigon Restaurant,"6218 Wilson Boulevard, Falls Church",1.0,4.3,OPERATIONAL,"38.8736537,-77.14917009999999"
478,Uptown Cafe,"6400 Arlington Boulevard # 103, Falls Church",2.0,2.1,OPERATIONAL,"38.87282299999999,-77.16014179999999"
479,Popeyes Louisiana Kitchen,"6134 Arlington Boulevard, Falls Church",1.0,3.4,OPERATIONAL,"38.8688229,-77.1457016"
481,BOURBON STEAK,"2800 Pennsylvania Avenue Northwest, Washington",4.0,4.5,OPERATIONAL,"38.9044739,-77.0578046"
482,Bangkok Joe's,"3000 K Street Northwest, Washington",2.0,4.2,OPERATIONAL,"38.9022542,-77.0600058"
483,Degrees Bistro,"3100 South Street Northwest, Washington",2.0,4.4,CLOSED_TEMPORARILY,"38.90310300000001,-77.061784"
485,Bodega Spanish Tapas & Lounge,"3116 M Street Northwest, Washington",2.0,4.2,OPERATIONAL,"38.9050725,-77.0617676"
486,Thunder Burger & Bar,"3056 M Street Northwest, Washington",2.0,4.4,OPERATIONAL,"38.9050872,-77.0607473"
487,J.Paul's,"3218 M Street Northwest, Washington",2.0,4.0,OPERATIONAL,"38.905006,-77.063467"
488,il Canale,"1065 31st St NW, Washington",2.0,4.4,OPERATIONAL,"38.9044867,-77.0609661"
491,Nick's Riverside Grill,"3050 K Street Northwest, Washington",2.0,3.7,OPERATIONAL,"38.9016055,-77.0604934"
492,Ristorante Piccolo,"1068 31st St NW, Washington",2.0,4.4,OPERATIONAL,"38.9046876,-77.0613259"
495,Sushi Rock,"1900 Clarendon Boulevard, Arlington",2.0,4.3,OPERATIONAL,"38.89148429999999,-77.0813082"
496,TNR Cafe,"2049 Wilson Boulevard, Arlington",1.0,4.4,OPERATIONAL,"38.8919529,-77.08408299999999"
499,Guajillo,"1727 Wilson Boulevard, Arlington",2.0,4.3,OPERATIONAL,"38.89413599999999,-77.0790114"
500,Capriotti's Sandwich Shop,"1500 Wilson Boulevard, Rosslyn",1.0,3.8,OPERATIONAL,"38.894565,-77.07464999999999"
501,Perfect Pita,"1735 North Lynn Street, Arlington",1.0,4.5,CLOSED_TEMPORARILY,"38.8952952,-77.0702723"
502,Subway,"1401 Wilson Boulevard Suite 106, Arlington",1.0,3.7,OPERATIONAL,"38.8957425,-77.0737256"
503,Golden Gobi,"1655 North Lynn Street, Arlington",,5.0,OPERATIONAL,"38.893776,-77.0714005"
504,Sfoglina Rosslyn,"1100 Wilson Boulevard, Arlington",,4.4,OPERATIONAL,"38.89458269999999,-77.0705723"
505,Mazza Kitchen,"1101 Wilson Boulevard, Arlington",,5.0,OPERATIONAL,"38.8955261,-77.0699222"
506,CAVA,"1201 Wilson Boulevard Ste 211, Arlington",1.0,4.5,OPERATIONAL,"38.895429,-77.07098479999999"
507,Open Road Rosslyn,"1201 Wilson Boulevard Suite 213, Arlington",,4.7,OPERATIONAL,"38.895595,-77.0712076"
508,Salt,"1201 Wilson Boulevard g113, Arlington",,4.7,OPERATIONAL,"38.8957158,-77.0709931"
509,Taco El Chilango,"1719-1728, 14th Street North, Arlington",1.0,4.8,OPERATIONAL,"38.8905649,-77.0778455"
510,Autenticos Tacos Mexicanos,"1723 14th Street North, Arlington",,5.0,OPERATIONAL,"38.8906716,-77.07806880000001"
511,Amuse at Le Meridien - Arlington,"1121 19th Street North, Arlington",,3.5,CLOSED_TEMPORARILY,"38.89728110000001,-77.0698926"
512,Vitality Bowls Arlington,"1515 Wilson Boulevard, Arlington",2.0,3.9,OPERATIONAL,"38.8948369,-77.0746413"
513,Cosi,"1801 North Lynn Street, Arlington",1.0,,OPERATIONAL,"38.8969184,-77.0707019"
514,Taco Rock,"1501 Wilson Boulevard, Arlington",,4.4,OPERATIONAL,"38.89520160000001,-77.0742466"
515,Subway,"Fort Myer Exchange, 450 McNair Road, Fort Myer",1.0,,OPERATIONAL,"38.88030769999999,-77.0799457"
516,Bethesda Bagels,"1851 North Moore Street, Arlington",,4.4,OPERATIONAL,"38.89669899999999,-77.07143599999999"
517,Nando's Peri-Peri,"1800 North Lynn Street # 100, Arlington",2.0,4.4,OPERATIONAL,"38.896697,-77.071466"
518,The Yard Arlington,"1121 19th Street North, Arlington",,2.7,OPERATIONAL,"38.89728110000001,-77.0698926"
519,Tony Luke's,"The Pentagon, Arlington",2.0,3.3,CLOSED_TEMPORARILY,"38.87185689999999,-77.0562668"
524,Cava Mezze Clarendon,"2940 Clarendon Boulevard, Arlington",2.0,4.5,OPERATIONAL,"38.88737,-77.093582"
526,Alto Fumo Pizzeria,"2909 Wilson Boulevard, Arlington",2.0,4.2,CLOSED_TEMPORARILY,"38.8886111,-77.09361109999999"
527,Delhi Club,"1135 North Highland Street, Arlington",2.0,4.1,OPERATIONAL,"38.8872058,-77.0947752"
528,Endo Sushi,"3000 Washington Boulevard, Arlington",2.0,4.4,OPERATIONAL,"38.8848577,-77.0938"
529,Bakeshop,"1025 North Fillmore Street G, Arlington",2.0,4.6,OPERATIONAL,"38.885537,-77.09251499999999"
532,CIRCA at Clarendon,"3010 Clarendon Boulevard, Arlington",2.0,4.4,OPERATIONAL,"38.88700000000001,-77.0943333"
533,Nam-Viet Restaurant,"1127 North Hudson Street, Arlington",2.0,4.4,OPERATIONAL,"38.88716549999999,-77.09642"
534,Mario's Pizza House,"3322 Wilson Boulevard, Arlington",1.0,4.1,OPERATIONAL,"38.883413,-77.09944"
535,Mexicali Blues,"2933 Wilson Boulevard, Arlington",2.0,4.0,OPERATIONAL,"38.888469,-77.09381599999999"
536,Market Creations,"4100 Fairfax Drive, Arlington",,4.0,OPERATIONAL,"38.8818538,-77.109662"
537,sweetgreen,"4075 Wilson Boulevard, Arlington",2.0,4.3,OPERATIONAL,"38.8801004,-77.1086699"
538,Jimmy John's,"550 North Quincy Street Unit B, Arlington",1.0,4.1,OPERATIONAL,"38.87794679999999,-77.1080197"
539,Chipotle Mexican Grill,"4300 Wilson Boulevard #100, Arlington",1.0,4.0,OPERATIONAL,"38.87984039999999,-77.1123119"
545,Domino's Pizza,"550 North Quincy Street, Arlington",1.0,2.0,OPERATIONAL,"38.87794679999999,-77.1080197"
546,McDonald's,"5009 Wilson Boulevard, Arlington",1.0,3.8,OPERATIONAL,"38.8784597,-77.1214645"
547,Mussel Bar & Grille,"800 North Glebe Road, Arlington",2.0,4.3,OPERATIONAL,"38.88,-77.1147222"
549,Tropical Smoothie Cafe,"3811 Fairfax Drive, Arlington",1.0,4.3,OPERATIONAL,"38.8828062,-77.10583620000001"
551,Grand Cru Wine Bar and Bistro,"4301 Wilson Boulevard #100, Arlington",2.0,4.3,OPERATIONAL,"38.8807971,-77.1127432"
552,O'Sullivan's Irish Pub,"3207 Washington Boulevard, Arlington",2.0,4.4,OPERATIONAL,"38.88618219999999,-77.0971856"
553,Thai Curry,"307 North Glebe Road, Arlington",2.0,3.9,OPERATIONAL,"38.87425760000001,-77.10517329999999"
554,Layalina Restaurant,"5216 Wilson Boulevard, Arlington",2.0,4.2,OPERATIONAL,"38.87708200000001,-77.12473899999999"
555,Zoës Kitchen,"4245 Fairfax Drive Ste 150, Arlington",2.0,4.0,CLOSED_TEMPORARILY,"38.8824917,-77.1124863"
556,Hunan Gate,"4233 Fairfax Drive, Arlington",2.0,3.9,OPERATIONAL,"38.88237030000001,-77.1117175"
557,Which Wich Superior Sandwiches,"4300 Wilson Boulevard # 160, Arlington",1.0,3.8,OPERATIONAL,"38.879886,-77.1124028"
559,Starbucks,"901 North Stuart Street, Arlington",2.0,3.7,OPERATIONAL,"38.8812864,-77.1113862"
562,McDonald's,"2620 Jefferson Davis Highway, Arlington",1.0,3.8,OPERATIONAL,"38.85005880000001,-77.0532238"
564,Starbucks,"2231 Crystal Drive #160, Arlington",2.0,4.2,OPERATIONAL,"38.853793,-77.049236"
570,Five Guys,"2401 Smith Boulevard, Arlington",2.0,4.5,OPERATIONAL,"38.8497653,-77.042041"
573,Enjera Restaurant,"549 23rd Street South, Arlington",2.0,4.4,OPERATIONAL,"38.8534861,-77.0547333"
576,Ted's Montana Grill,"2200 Crystal Drive Suite A, Arlington",2.0,4.3,OPERATIONAL,"38.8541765,-77.0497705"
577,Chipotle Mexican Grill,"2231 Crystal Drive Lbby 100, Arlington",1.0,3.8,OPERATIONAL,"38.8539863,-77.0492307"
578,Einstein Bros Bagels,"space 34 Smith Boulevard terminal B, Arlington",1.0,1.8,OPERATIONAL,"38.8536971,-77.0431433"
579,Häagen-Dazs®,"1100 South Hayes Street, Arlington",2.0,4.2,OPERATIONAL,"38.8632064,-77.06027069999999"
585,Fire Works Pizza - Courthouse,"2350 Clarendon Boulevard, Arlington",2.0,4.3,OPERATIONAL,"38.88988820000001,-77.0872828"
590,Five Guys,"2300 Wilson Boulevard, Arlington",2.0,4.4,OPERATIONAL,"38.8905115,-77.08696119999999"
593,Papa John's Pizza,"2440 Wilson Boulevard, Arlington",1.0,3.6,OPERATIONAL,"38.8903112,-77.08837729999999"
596,Corner Bakery Cafe,"2111 Wilson Boulevard, Arlington",,4.2,OPERATIONAL,"38.89162999999999,-77.085527"
599,Starbucks,"2200 Clarendon Boulevard, Arlington",2.0,4.1,OPERATIONAL,"38.8901703,-77.0859667"
618,Villa Fresh Italian Kitchen,"1100 South Hayes Street, Arlington",1.0,3.1,OPERATIONAL,"38.8634126,-77.0606198"
619,Urban Thai Restaurant,"561 23rd Street South, Arlington",2.0,4.4,OPERATIONAL,"38.85354700000001,-77.05498899999999"
620,The Capital Grille,"1861 International Drive, McLean",4.0,4.7,OPERATIONAL,"38.9161285,-77.2252487"
621,la Madeleine French Bakery & Cafe Tyson's Corner,"7960 Tyson's Corner Center #D8U, McLean",2.0,3.7,CLOSED_TEMPORARILY,"38.918193,-77.221543"
622,"ENTYSE, Wine Bar & Lounge","1700 Tysons Boulevard, McLean",,4.6,OPERATIONAL,"38.92426439999999,-77.2237588"
623,Chipotle Mexican Grill,"7923 L, Tysons Corner Center, McLean",1.0,4.0,OPERATIONAL,"38.9175319,-77.2206992"
624,Starbucks,"2001 International Drive #109, McLean",2.0,4.1,OPERATIONAL,"38.923506,-77.22429799999999"
625,Boulevard Cafe Catering,"8180 Greensboro Drive, McLean",1.0,4.1,OPERATIONAL,"38.9235104,-77.22787819999999"
626,"Universal Gourmet II, Inc","8020 Towers Crescent Drive, Vienna",,4.2,OPERATIONAL,"38.91503540000001,-77.2205595"
627,Silver Diner- Tysons,"8101 Fletcher Street, McLean",2.0,4.3,OPERATIONAL,"38.9168213,-77.2260553"
628,Five Guys,"7856 E Tysons Corner Center, McLean",2.0,4.1,OPERATIONAL,"38.917984,-77.2186589"
629,Warren Cafe,"8000 Westpark Drive, McLean",1.0,5.0,OPERATIONAL,"38.928579,-77.222351"
630,Corner Bakery Cafe,"2001 International Drive Ste 1790M, McLean",1.0,4.0,OPERATIONAL,"38.9243856,-77.2254513"
631,Panera Bread,"7939L Tysons Corner Center, McLean",2.0,3.8,OPERATIONAL,"38.91750799999999,-77.221099"
632,Tysons Social Tavern,"1960 Chain Bridge Road, McLean",,3.8,CLOSED_TEMPORARILY,"38.920693,-77.227367"
633,Grill Kabob,"1961 Chain Bridge Road, McLean",2.0,3.3,OPERATIONAL,"38.9180122,-77.2192436"
634,Subway,"7925 Jones Branch Drive Suite Ll-260, McLean",1.0,3.6,OPERATIONAL,"38.93035359999999,-77.2181221"
635,Eddie V's Prime Seafood,"7900 Tysons One Place, McLean",4.0,4.5,OPERATIONAL,"38.9195003,-77.21967130000002"
636,Fogo de Chão Brazilian Steakhouse,"1775 Tysons Boulevard Suite 50, Tysons",3.0,4.5,OPERATIONAL,"38.923841,-77.221587"
637,Earls Kitchen + Bar,"7902 Tysons One Place, McLean",2.0,4.2,OPERATIONAL,"38.919725,-77.2207578"
638,California Tortilla,"1961 Chain Bridge Road, Tysons",1.0,3.2,OPERATIONAL,"38.91823,-77.21945"
639,Barrel & Bushel,"7901 Tysons One Place, Tysons",2.0,4.1,OPERATIONAL,"38.918728,-77.220006"
672,Mele Bistro,"1723 Wilson Boulevard, Arlington",2.0,4.5,OPERATIONAL,"38.89426580000001,-77.0789422"
683,Subway,"The Pentagon, Main Food Ct #2029, Washington",1.0,4.4,OPERATIONAL,"38.87098,-77.0559597"
684,Dunkin',"Henry G. Shirley Memorial Highway, Washington",1.0,3.8,OPERATIONAL,"38.871009,-77.055971"
685,sweetgreen,"575 12th Road South Ste B2, Arlington",2.0,4.3,OPERATIONAL,"38.862587,-77.05636989999999"
686,Starbucks,"1201 South Fern Street Space B3, Arlington",2.0,4.2,OPERATIONAL,"38.86249000000001,-77.056502"
687,Roti Modern Mediterranean,"1211 South Fern Street, Arlington",1.0,4.3,CLOSED_TEMPORARILY,"38.8623863,-77.0565578"
688,honeygrow,"1100 South Hayes Street, Arlington",2.0,4.2,CLOSED_TEMPORARILY,"38.8632757,-77.0605838"
689,Charleys Philly Steaks,"1100 S Hayes St Ste VC07, Arlington",1.0,4.2,OPERATIONAL,"38.86329190000001,-77.06072929999999"
690,McDonald's,"1100 South Hayes Street, Arlington",1.0,3.5,OPERATIONAL,"38.8632632,-77.0608809"
691,Great Wraps,"FASHION CENTER AT PENTAGON CITY MALL, 1100 South Hayes Street, Arlington",1.0,3.4,OPERATIONAL,"38.86315189999999,-77.0610593"
692,pentagon city,"1100 South Hayes Street Suite H20, Arlington",,,OPERATIONAL,"38.86300909999999,-77.06106390000001"
693,Costco Food Court,"1200 South Fern Street, Arlington",1.0,4.2,OPERATIONAL,"38.8610997,-77.0578141"
694,Basic Burger,"1101 South Joyce Street, Arlington",2.0,4.2,OPERATIONAL,"38.863616,-77.062545"
695,Bonefish Grill,"1101 South Joyce Street B-26, Arlington",2.0,4.4,OPERATIONAL,"38.8639435,-77.06303"
696,Marketplace Café,"1400 South Hayes Street, Arlington",,3.7,OPERATIONAL,"38.8621207,-77.0611194"
697,A Deli,"1301 South Joyce Street, Arlington",,4.2,OPERATIONAL,"38.8622732,-77.0633351"
698,Auntie Anne's,"1675 Crystal Drive, Arlington",1.0,3.0,OPERATIONAL,"38.8585709,-77.0512047"
699,Subway,"1664-E Crystal Square Arcade Inside 1750, Crystal Drive, Arlington",1.0,3.7,OPERATIONAL,"38.8583302,-77.05021380000001"
740,Hot N Juicy Crawfish,"116 West Broad Street, Falls Church",2.0,4.4,OPERATIONAL,"38.8827132,-77.171534"
745,Chef Bon's Yum Truck,"140 Little Falls Street #105, Falls Church",,3.0,OPERATIONAL,"38.8844458,-77.1727463"
748,Lucky Thai Restaurant,"240 West Broad Street, Falls Church",2.0,4.3,OPERATIONAL,"38.88362999999999,-77.1727891"
750,The Italian Store,"5837 N Washington Boulevard, Arlington",,4.7,OPERATIONAL,"38.8851245,-77.14034029999999"
751,Subway,"121 E. Annandale Road Space #4, Falls Church",1.0,3.0,OPERATIONAL,"38.8801307,-77.1728037"
752,Dunkin',"101 East Annandale Road, Falls Church",1.0,4.1,OPERATIONAL,"38.8802586,-77.1727378"
753,Caribbean Plate,"133 East Annandale Road, Falls Church",2.0,4.4,OPERATIONAL,"38.8799103,-77.1727554"
754,Chipotle Mexican Grill,"358 West Broad Street, Falls Church",1.0,3.8,OPERATIONAL,"38.8850655,-77.1745479"
755,Stray Cat Cafe,"5866 Washington Boulevard, Arlington",1.0,4.4,OPERATIONAL,"38.8852778,-77.1416667"
757,Hunan Cafe,"126 West Broad Street, Falls Church",2.0,3.7,OPERATIONAL,"38.88299,-77.171912"
758,Ramen Factory 42,"308 South Washington Street, Falls Church",2.0,4.4,OPERATIONAL,"38.88060000000001,-77.173464"
759,Troika Gastronom and Restaurant,"169 Hillwood Avenue, Falls Church",2.0,4.3,OPERATIONAL,"38.8795873,-77.1710872"
800,Caspi Restaurant and Lounge,"2901 Columbia Pike, Arlington",,4.5,OPERATIONAL,"38.8626264,-77.0872206"
801,Tortas Y Tacos La Chiquita,"2911 Columbia Pike, Arlington",1.0,4.7,OPERATIONAL,"38.86258180000001,-77.0874348"
802,Rebellion On The Pike,"2900 Columbia Pike, Arlington",2.0,4.5,OPERATIONAL,"38.8623162,-77.0873263"
803,Boru Ramen,"2915 Columbia Pike, Arlington",2.0,4.5,OPERATIONAL,"38.862564,-77.0875387"
804,Ethio Cafe,"3045 Columbia Pike, Arlington",,4.1,OPERATIONAL,"38.8625617,-77.0889577"
805,Pho Harmony & Grill,"3203 Columbia Pike, Arlington",,4.8,CLOSED_TEMPORARILY,"38.8620382,-77.0901015"
806,Family Kabobs House,"3205 Columbia Pike, Arlington",,4.7,OPERATIONAL,"38.8620329,-77.090154"
807,Panda Bowl,"3207 Columbia Pike, Arlington",,4.5,OPERATIONAL,"38.862039,-77.0902156"
808,Panda Bowl Restaurant,"3207 Columbia Pike, Arlington",,3.8,OPERATIONAL,"38.862039,-77.0902156"
809,Takohachi Japanese Restaurant,"3249 Columbia Pike, Arlington",1.0,4.5,OPERATIONAL,"38.8621694,-77.0913889"
810,DC Slices Pizza Kitchen,"951 South Monroe Street, Arlington",,5.0,OPERATIONAL,"38.861156,-77.0939179"
811,Sofia's Pupuseria,"3610 Columbia Pike, Arlington",,4.1,OPERATIONAL,"38.8604488,-77.094247"
812,Pupatella,"1621 South Walter Reed Drive, Arlington",2.0,4.5,OPERATIONAL,"38.85573129999999,-77.0880359"
813,Perla Del Valle,"36 South Glebe Road, Arlington",2.0,4.1,OPERATIONAL,"38.869693,-77.10011899999999"
814,Pa' Tacos El Papi 3,"South George Mason Drive, Arlington",,5.0,OPERATIONAL,"38.8578081,-77.100622"
815,El Encanto Latino - Food Truck,"947-923 South George Mason Drive, Arlington",,4.6,OPERATIONAL,"38.86039059999999,-77.10227069999999"
816,Angel's Tipicos Food Truck,"923 South George Mason Drive, Arlington",,4.0,OPERATIONAL,"38.8604958,-77.10237149999999"
817,Fort Myer Exchange,"106 McNair Rd, 2nd Street South Bldg. 450, Fort Myer",,4.0,OPERATIONAL,"38.8734105,-77.07933539999999"
818,McDonald's,"40 North Glebe Road, Arlington",1.0,3.7,OPERATIONAL,"38.8709948,-77.1017296"
